# NONE    None
# 2025-01-03T03:27:00
# GLAT=   65.000000    GLON= -147.000000
################################################################################
           Name      HIP              az              el          x          y
           Vega    91262      287.405400       35.281500 212.560000 407.330000
          Deneb   102098      265.725200       53.689300 186.240000 343.600000
           Sadr   100453      265.675700       47.555100 176.540000 360.230000
         Altair    97649      255.252500       16.566000 103.120000 405.940000
        Capella    24608       80.670900       48.028200 309.530000 162.130000
     Betelgeuse    27989       94.680500       10.356000 323.380000  58.240000
      Aldebaran    21421      109.163700       26.814300 266.580000  83.170000
      Benetnash    67301      346.142200       25.169200 371.860000 375.470000
          Mizar    65378      351.056500       30.233100 371.860000 356.070000
         Alioth    62956      356.061800       30.906200 378.790000 344.990000
     Menkalinan    28360       72.906900       42.757000 333.080000 163.520000
        Jupiter        0      104.382729       30.588443 277.664502  94.253247
          Venus        0      214.626424        7.959395  18.616883 281.266234
